LNG	LAT	NETWORK
-81.527775300000	41.077863400000	dmxcarcod
-81.525331000000	41.078449733333	dmxcarcod
-81.478196975000	41.110820275000	dmx
-81.478196975000	41.110820275000	dmxcarcod
-81.469688910000	41.011177845000	dmx
-81.469688910000	41.011177845000	dmxcarcod
-81.565373120000	41.122211730000	dmx
-81.565373120000	41.122211730000	dmxcarcod
-81.557737966667	41.043507766667	dmx
-81.557737966667	41.043507766667	dmxcarcod
-81.523589950000	41.010348250000	dmx
-81.523589950000	41.010348250000	dmxcarcod
-81.581782520000	41.079972093333	dmx
-81.581782520000	41.079972093333	dmxcarcod
-81.630412241667	41.128546391667	dmx
-81.630412241667	41.128546391667	dmxcarcod
-103.214231200000	40.162968200000	dmxcarcod
-74.653818000000	44.966455300000	dmx
-74.653818000000	44.966455300000	dmxcarcod
-86.815592031579	33.238355952632	dmx
-86.815592031579	33.238355952632	dmxcarcod
-82.498871500000	29.793213560000	dmx
-82.498871500000	29.793213560000	dmxcarcod
-81.209049700000	28.546619500000	dmx
-81.153257600000	28.542746500000	dmx
-122.254803274419	37.768717318605	dha
-122.254803274419	37.768717318605	dmx
-122.254803274419	37.768717318605	dmxcarcod
-122.245386450000	37.737395875000	dha
-122.245386450000	37.737395875000	dmxcarcod
-98.114318157143	26.184827800000	dmxcarcod
-122.024596939130	37.853793500000	dha
-122.024596939130	37.853793500000	dmx
-122.024596939130	37.853793500000	dmxcarcod
-105.951804815789	32.895716626316	dmx
-105.951804815789	32.895716626316	dmxcarcod
-105.881126671429	37.471341721429	dmx
-105.881126671429	37.471341721429	dmxcarcod
-73.834579287234	42.680679429787	dmx
-73.834579287234	42.680679429787	dmxcarcod
-73.748796400000	42.674637350000	dmx
-73.748796400000	42.674637350000	dmxcarcod
-73.817673645714	42.709442420000	dmx
-73.817673645714	42.709442420000	dmxcarcod
-73.791335500000	42.677986016667	dmx
-73.791335500000	42.677986016667	dmxcarcod
-73.749598660000	42.655860620000	dmx
-73.749598660000	42.655860620000	dmxcarcod
-73.787423128571	42.655535176190	dmx
-73.787423128571	42.655535176190	dmxcarcod
-73.791152533333	42.639966433333	dmx
-73.791152533333	42.639966433333	dmxcarcod
-73.773101158333	42.707315066667	dmx
-73.773101158333	42.707315066667	dmxcarcod
-84.166038384211	31.577423194737	dmx
-84.166038384211	31.577423194737	dmxcarcod
-84.104854650000	31.580034075000	dmx
-84.104854650000	31.580034075000	dmxcarcod
-84.202049858824	31.596579252941	dmx
-84.202049858824	31.596579252941	dmxcarcod
-84.224979900000	31.603932025000	dmxcarcod
-85.134031833333	36.689180400000	dmx
-85.134031833333	36.689180400000	dmxcarcod
-90.582808133333	30.501078533333	dmx
-90.582808133333	30.501078533333	dmxcarcod
-99.288303900000	32.731683200000	dmx
-99.288303900000	32.731683200000	dmxcarcod
-122.298507766667	37.893360066667	dha
-122.298507766667	37.893360066667	dmx
-122.298507766667	37.893360066667	dmxcarcod
-123.111087975862	44.624451424138	dmx
-123.111087975862	44.624451424138	dmxcarcod
-123.079363500000	44.627240589474	dmx
