ZIP3,STATE,POPULATION,AP,DENT,INN_AP,INN_DENT,FRAC_INN_AP,FRAC_INN_DENT,GP,PED,SURG,PERIO,ENDO,PROSTHO,PP_AP,PP_DENT,PP_GP,PP_PED,PP_SURG,PP_PERIO,PP_ENDO,PP_PROSTHO
065,CT,290412,923,549,581,295,0.629469,0.537341,242,13,30,8,10,4,314.639220,528.983607,1200.049587,22339.384615,9680.400000,36301.500000,29041.200000,72603.000000
066,CT,244177,590,448,380,278,0.644068,0.620536,241,7,17,6,10,5,413.859322,545.037946,1013.182573,34882.428571,14363.352941,40696.166667,24417.700000,48835.400000
067,CT,328345,883,545,594,317,0.672707,0.581651,281,10,16,7,10,5,371.851642,602.467890,1168.487544,32834.500000,20521.562500,46906.428571,32834.500000,65669.000000
068,CT,481801,1400,923,658,365,0.470000,0.395450,298,20,31,9,14,8,344.143571,521.994583,1616.781879,24090.050000,15541.967742,53533.444444,34414.357143,60225.125000
069,CT,128618,391,346,154,151,0.393862,0.436416,134,11,5,4,3,0,328.946292,371.728324,959.835821,11692.545455,25723.600000,32154.500000,42872.666667,999999.000000
070,NJ,1751139,3819,2761,1481,1083,0.387798,0.392249,840,48,78,57,35,7,458.533386,634.240855,2084.689286,36482.062500,22450.500000,30721.736842,50032.542857,250162.714286
071,NJ,402742,849,557,308,176,0.362780,0.315978,147,14,10,7,4,0,474.372203,723.055655,2739.741497,28767.285714,40274.200000,57534.571429,100685.500000,999999.000000
072,NJ,186858,215,189,77,77,0.358140,0.407407,64,7,2,1,1,2,869.106977,988.666667,2919.656250,26694.000000,93429.000000,186858.000000,186858.000000,93429.000000
073,NJ,265793,292,238,97,83,0.332192,0.348739,69,3,4,3,1,1,910.250000,1116.777311,3852.072464,88597.666667,66448.250000,88597.666667,265793.000000,265793.000000
074,NY,469824,952,772,256,237,0.268908,0.306995,171,17,24,10,14,3,493.512605,608.580311,2747.508772,27636.705882,19576.000000,46982.400000,33558.857143,156608.000000
075,NJ,200743,221,191,78,78,0.352941,0.408377,67,3,4,2,0,0,908.339367,1051.010471,2996.164179,66914.333333,50185.750000,100371.500000,999999.000000,999999.000000
076,NJ,508343,1343,1087,338,324,0.251675,0.298068,233,16,22,23,15,1,378.513031,467.656854,2181.729614,31771.437500,23106.500000,22101.869565,33889.533333,508343.000000
077,NJ,598607,1726,1146,902,609,0.522596,0.531414,427,51,44,43,29,3,346.817497,522.344677,1401.889930,11737.392157,13604.704545,13921.093023,20641.620690,199535.666667
078,NJ,360225,629,500,97,94,0.154213,0.188000,63,13,3,6,3,1,572.694754,720.450000,5717.857143,27709.615385,120075.000000,60037.500000,120075.000000,360225.000000
079,NJ,259678,662,567,145,142,0.219033,0.250441,91,3,15,20,3,2,392.262840,457.985891,2853.604396,86559.333333,17311.866667,12983.900000,86559.333333,129839.000000
080,NJ,1164093,2696,1477,1572,749,0.583086,0.507109,519,58,61,48,40,7,431.785237,788.146919,2242.953757,20070.568966,19083.491803,24251.937500,29102.325000,166299.000000
081,NJ,156249,145,132,35,35,0.241379,0.265152,28,1,2,1,1,0,1077.579310,1183.704545,5580.321429,156249.000000,78124.500000,156249.000000,156249.000000,999999.000000
082,NJ,248732,574,424,343,247,0.597561,0.582547,173,17,20,19,12,5,433.331010,586.632075,1437.757225,14631.294118,12436.600000,13091.157895,20727.666667,49746.400000
083,NJ,240095,471,333,327,234,0.694268,0.702703,152,14,27,21,12,4,509.755839,721.006006,1579.572368,17149.642857,8892.407407,11433.095238,20007.916667,60023.750000
084,NJ,56792,58,56,27,27,0.465517,0.482143,24,2,1,1,1,0,979.172414,1014.142857,2366.333333,28396.000000,56792.000000,56792.000000,56792.000000,999999.000000
085,NJ,317401,595,438,261,181,0.438655,0.413242,126,10,13,12,9,0,533.447059,724.659817,2519.055556,31740.100000,24415.461538,26450.083333,35266.777778,999999.000000
086,NJ,271962,768,522,436,272,0.567708,0.521073,195,10,23,29,5,2,354.117188,521.000000,1394.676923,27196.200000,11824.434783,9378.000000,54392.400000,135981.000000
087,NJ,463254,1150,675,702,386,0.610435,0.571852,275,28,25,35,13,4,402.829565,686.302222,1684.560000,16544.785714,18530.160000,13235.828571,35634.923077,115813.500000
088,PA,923434,2299,1486,1162,684,0.505437,0.460296,504,40,61,51,25,8,401.667682,621.422611,1832.210317,23085.850000,15138.262295,18106.549020,36937.360000,115429.250000
089,NJ,114197,372,301,225,178,0.604839,0.591362,114,7,14,21,13,2,306.981183,379.392027,1001.728070,16313.857143,8156.928571,5437.952381,8784.384615,57098.500000
100,NY,1564205,5270,3873,871,755,0.165275,0.194939,588,28,63,45,40,19,296.813093,403.874258,2660.212585,55864.464286,24828.650794,34760.111111,39105.125000,82326.578947
101,NY,64067,325,284,23,23,0.070769,0.080986,18,1,0,4,3,1,197.129231,225.588028,3559.277778,64067.000000,999999.000000,16016.750000,21355.666667,64067.000000
102,NY,15464,10,9,0,0,0.000000,0.000000,0,0,0,0,0,0,1546.400000,1718.222222,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
103,NY,475948,664,517,288,226,0.433735,0.437137,170,8,16,10,10,0,716.789157,920.595745,2799.694118,59493.500000,29746.750000,47594.800000,47594.800000,999999.000000
104,NY,1458572,1864,1256,775,460,0.415773,0.366242,367,22,42,17,9,2,782.495708,1161.283439,3974.310627,66298.727273,34727.904762,85798.352941,162063.555556,729286.000000
105,NY,661686,1386,1035,316,236,0.227994,0.228019,161,20,31,13,3,2,477.406926,639.310145,4109.850932,33084.300000,21344.709677,50898.923077,220562.000000,330843.000000
106,NY,83145,287,235,81,78,0.282230,0.331915,59,2,1,6,0,0,289.703833,353.808511,1409.237288,41572.500000,83145.000000,13857.500000,999999.000000,999999.000000
107,NY,232784,384,331,134,132,0.348958,0.398792,92,10,14,12,1,1,606.208333,703.274924,2530.260870,23278.400000,16627.428571,19398.666667,232784.000000,232784.000000
108,NY,88570,131,111,22,22,0.167939,0.198198,18,1,2,0,1,0,676.106870,797.927928,4920.555556,88570.000000,44285.000000,999999.000000,88570.000000,999999.000000
109,NY,552846,1129,849,436,350,0.386182,0.412250,257,27,42,10,12,1,489.677591,651.173145,2151.151751,20475.777778,13163.000000,55284.600000,46070.500000,552846.000000
110,NY,256868,673,557,146,139,0.216939,0.249551,103,7,13,10,8,2,381.676077,461.163375,2493.864078,36695.428571,19759.076923,25686.800000,32108.500000,128434.000000
111,NY,209037,351,304,109,108,0.310541,0.355263,96,2,4,1,1,0,595.547009,687.621711,2177.468750,104518.500000,52259.250000,209037.000000,209037.000000,999999.000000
112,NY,2635121,3076,2327,945,779,0.307217,0.334766,651,27,40,26,13,5,856.671326,1132.411259,4047.804916,97597.074074,65878.025000,101350.807692,202701.615385,527024.200000
113,NY,1189113,2184,1676,733,601,0.335623,0.358592,474,27,49,33,15,4,544.465659,709.494630,2508.677215,44041.222222,24267.612245,36033.727273,79274.200000,297278.250000
114,NY,801966,597,508,221,203,0.370184,0.399606,174,4,12,11,13,3,1343.326633,1578.673228,4609.000000,200491.500000,66830.500000,72906.000000,61689.692308,267322.000000
115,NY,731193,1611,1291,539,485,0.334575,0.375678,379,20,28,25,32,7,453.875233,566.377227,1929.269129,36559.650000,26114.035714,29247.720000,22849.781250,104456.142857
116,NY,123012,81,67,21,19,0.259259,0.283582,16,0,1,0,0,1,1518.666667,1836.000000,7688.250000,999999.000000,123012.000000,999999.000000,999999.000000,123012.000000
117,NY,1568874,3197,2001,1475,868,0.461370,0.433783,634,55,72,53,47,8,490.733187,784.044978,2474.564669,28524.981818,21789.916667,29601.396226,33380.297872,196109.250000
118,NY,72779,235,210,121,120,0.514894,0.571429,89,1,13,12,7,1,309.697872,346.566667,817.741573,72779.000000,5598.384615,6064.916667,10397.000000,72779.000000
119,NY,254283,388,281,216,140,0.556701,0.498221,114,12,5,7,6,4,655.368557,904.921708,2230.552632,21190.250000,50856.600000,36326.142857,42380.500000,63570.750000
120,NY,333122,429,334,125,108,0.291375,0.323353,84,13,15,3,3,1,776.508159,997.371257,3965.738095,25624.769231,22208.133333,111040.666667,111040.666667,333122.000000
121,NY,284709,351,263,167,108,0.475783,0.410646,99,1,6,2,2,2,811.136752,1082.543726,2875.848485,284709.000000,47451.500000,142354.500000,142354.500000,142354.500000
122,NY,151296,372,310,131,116,0.352151,0.374194,99,5,12,2,1,1,406.709677,488.051613,1528.242424,30259.200000,12608.000000,75648.000000,151296.000000,151296.000000
123,NY,162346,283,216,130,84,0.459364,0.388889,79,0,5,0,1,0,573.660777,751.601852,2055.012658,999999.000000,32469.200000,999999.000000,162346.000000,999999.000000
124,NY,151254,214,191,76,75,0.355140,0.392670,62,5,6,3,2,1,706.794393,791.905759,2439.580645,30250.800000,25209.000000,50418.000000,75627.000000,151254.000000
125,NY,448865,602,463,242,183,0.401993,0.395248,137,14,14,9,8,1,745.622924,969.470842,3276.386861,32061.785714,32061.785714,49873.888889,56108.125000,448865.000000
126,NY,85718,192,163,106,94,0.552083,0.576687,77,1,15,1,2,1,446.447917,525.877301,1113.220779,85718.000000,5714.533333,85718.000000,42859.000000,85718.000000
127,NY,97320,109,84,50,37,0.458716,0.440476,24,4,5,2,2,0,892.844037,1158.571429,4055.000000,24330.000000,19464.000000,48660.000000,48660.000000,999999.000000
128,NY,224455,359,267,157,108,0.437326,0.404494,89,5,15,1,2,1,625.222841,840.655431,2521.966292,44891.000000,14963.666667,224455.000000,112227.500000,224455.000000
129,NY,162385,145,119,26,26,0.179310,0.218487,23,0,4,0,1,0,1119.896552,1364.579832,7060.217391,999999.000000,40596.250000,999999.000000,162385.000000,999999.000000
130,NY,386336,527,403,179,117,0.339658,0.290323,111,0,6,1,2,2,733.085389,958.650124,3480.504505,999999.000000,64389.333333,386336.000000,193168.000000,193168.000000
131,NY,177873,148,134,57,56,0.385135,0.417910,50,0,6,0,2,1,1201.844595,1327.410448,3557.460000,999999.000000,29645.500000,999999.000000,88936.500000,177873.000000
132,NY,228315,313,251,82,64,0.261981,0.254980,59,0,5,1,2,2,729.440895,909.621514,3869.745763,999999.000000,45663.000000,228315.000000,114157.500000,114157.500000
133,NY,139975,71,67,8,8,0.112676,0.119403,8,0,0,0,0,0,1971.478873,2089.179104,17496.875000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
134,NY,184960,186,148,75,50,0.403226,0.337838,44,0,5,0,3,0,994.408602,1249.729730,4203.636364,999999.000000,36992.000000,999999.000000,61653.333333,999999.000000
135,NY,70340,111,98,39,39,0.351351,0.397959,34,0,3,0,3,0,633.693694,717.755102,2068.823529,999999.000000,23446.666667,999999.000000,23446.666667,999999.000000
136,NY,235146,235,171,19,18,0.080851,0.105263,15,0,3,0,0,0,1000.621277,1375.122807,15676.400000,999999.000000,78382.000000,999999.000000,999999.000000,999999.000000
137,NY,132930,82,69,6,6,0.073171,0.086957,4,0,1,1,0,0,1621.097561,1926.521739,33232.500000,999999.000000,132930.000000,132930.000000,999999.000000,999999.000000
138,NY,136776,136,128,29,29,0.213235,0.226563,21,0,7,0,2,1,1005.705882,1068.562500,6513.142857,999999.000000,19539.428571,999999.000000,68388.000000,136776.000000
139,NY,80581,83,76,0,0,0.000000,0.000000,0,0,0,0,0,0,970.855422,1060.276316,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000,999999.000000
