LATITUDE,LONGITUDE,INN
37.2667958,-121.8656592,FALSE
37.2669082,-121.9072192,TRUE
37.2669503,-121.9407782,FALSE
37.2670569,-121.9308449,FALSE
37.2671209,-121.8249898,FALSE
37.2671275,-121.8325946,FALSE
37.2676887,-121.9566134,FALSE
37.2685934,-121.9311734,FALSE
37.2693514,-122.0094296,FALSE
37.2695273,-121.7667832,FALSE
37.2702826,-122.0536257,FALSE
37.2715209,-121.8346879,FALSE
37.2739083,-121.8803646,FALSE
37.2741507,-121.8507199,FALSE
37.2750514,-121.9716168,FALSE
37.275141,-121.847302,FALSE
37.2753111,-121.8515277,FALSE
37.2755774,-121.9228221,TRUE
37.2772198,-121.7826951,FALSE
37.2774317,-122.0151494,FALSE
37.2774987,-121.756723,FALSE
37.2775713,-121.8575286,FALSE
37.2776423,-121.881315,TRUE
37.2778446,-121.833865,TRUE
37.2779203,-121.9324894,TRUE
37.2782176,-121.7480643,FALSE
37.2788179,-121.8348881,FALSE
37.2790446,-122.0314918,TRUE
37.2791039,-121.9136429,FALSE
37.2794742,-121.8340986,TRUE
37.279743,-121.9101977,FALSE
37.2797588,-121.9864554,FALSE
37.2797915,-121.8682023,FALSE
37.2802553,-121.9807468,FALSE
37.2805743,-122.0041568,FALSE
37.2805922,-121.8723981,FALSE
37.2807768,-121.9988045,FALSE
37.28093,-121.7749,FALSE
37.2810724,-122.0043123,FALSE
37.281503,-122.004068,FALSE
37.2815912,-121.9495045,FALSE
37.2816674,-122.0046454,FALSE
37.281724,-122.0049563,TRUE
37.2820189,-122.0059113,FALSE
37.2824915,-121.7735488,FALSE
37.2830037,-121.8161139,FALSE
37.2840566,-121.8176266,FALSE
37.284069,-122.016105,FALSE
37.2841126,-121.9914085,FALSE
37.2841722,-121.9312672,FALSE
37.2841875,-121.8333534,TRUE
37.2843662,-121.8519245,FALSE
37.2851013,-121.9311783,FALSE
37.2852026,-121.9769899,FALSE
37.2855056,-122.0303151,FALSE
37.286247,-121.952577,FALSE
37.2863045,-121.9311783,FALSE
37.2866698,-121.9507328,FALSE
37.28676,-121.9526214,FALSE
37.2868759,-121.9411323,TRUE
37.2869094,-122.0417934,FALSE
37.2871577,-121.97817,FALSE
37.2874772,-121.9390086,FALSE
37.2876617,-121.8641139,FALSE
37.2877809,-121.800763,FALSE
37.2877914,-121.9955284,TRUE
37.287874,-121.804147,FALSE
37.2880324,-121.9954286,FALSE
37.2881346,-121.9955818,TRUE
37.2881516,-121.9486199,FALSE
37.288178,-121.881325,TRUE
37.288284,-121.7814486,FALSE
37.2884592,-121.9937594,FALSE
37.288597,-121.930556,FALSE
37.2888462,-121.9169546,FALSE
37.289179,-121.9957396,FALSE
37.2896986,-122.0317908,FALSE
37.2897168,-122.0311883,FALSE
37.2899905,-122.032824,TRUE
37.2900751,-122.0400173,FALSE
37.2901494,-121.9623528,FALSE
37.2905805,-121.8805869,FALSE
37.2907117,-121.9810355,FALSE
37.2912591,-121.7606245,TRUE
37.2912948,-122.0172811,FALSE
37.2914559,-121.78966,FALSE
37.2914679,-121.7588597,FALSE
37.2914772,-121.9960949,FALSE
37.2922855,-121.8335758,FALSE
37.2923388,-121.9883897,FALSE
37.2924526,-121.8312321,FALSE
37.2925661,-122.0316171,TRUE
37.2925951,-121.8446076,FALSE
37.2928944,-121.8331754,FALSE
37.2933259,-122.0345335,FALSE
37.2933986,-121.9250223,FALSE
37.2934147,-121.9818574,FALSE
37.2935943,-121.9449557,FALSE
37.2936118,-121.9460565,FALSE
37.2936548,-121.8384913,FALSE
37.2937452,-122.0310256,FALSE
37.2937938,-121.9923117,FALSE
37.2938607,-121.9575428,TRUE
37.29402,-121.9565687,TRUE
37.2940982,-121.9926575,FALSE
37.2941141,-121.9249556,FALSE
37.2941589,-121.9163545,FALSE
37.2941649,-121.9167101,FALSE
37.2941817,-121.9922303,TRUE
37.2942424,-121.9926575,FALSE
37.2942845,-122.0309811,TRUE
37.2943841,-122.009087,FALSE
37.2944988,-121.9896773,FALSE
37.2945301,-121.9539101,FALSE
37.2945774,-122.0415936,FALSE
37.2946053,-121.9458445,FALSE
37.2946912,-121.9214681,FALSE
37.2947347,-121.833697,FALSE
37.2947974,-121.8071261,FALSE
37.2950875,-121.9495552,TRUE
37.2951389,-121.9162211,FALSE
37.2959032,-122.0391293,FALSE
37.2960293,-121.9866553,TRUE
37.2963081,-121.8023872,FALSE
37.2967504,-122.0304039,FALSE
37.297052,-121.7992055,FALSE
37.2971497,-122.0394179,FALSE
37.2973079,-121.9627972,FALSE
37.2973708,-121.9141096,TRUE
37.2979179,-121.8385136,TRUE
37.29849,-121.8386,FALSE
37.298526,-121.9502621,TRUE
37.2985953,-121.8116646,FALSE
37.2989197,-122.0537811,FALSE
37.2993373,-122.0472324,FALSE
37.2997824,-121.9796805,FALSE
37.2998023,-122.0318693,FALSE
37.300526,-121.777011,FALSE
37.300703,-121.951124,FALSE
37.3007221,-121.7712343,TRUE
37.3008052,-122.0292947,FALSE
37.3010135,-121.8656674,TRUE
37.3010619,-121.8442882,FALSE
37.3011164,-121.8655889,TRUE
37.3014032,-121.9428003,FALSE
37.301492,-121.8228143,FALSE
37.3016972,-121.9133947,TRUE
37.3018074,-121.9141096,FALSE
37.3020668,-121.9149987,FALSE
37.3022234,-121.8428244,TRUE
37.3023604,-121.9140207,TRUE
37.3023666,-122.0617721,FALSE
37.3024624,-122.0319546,FALSE
37.3025081,-121.9162211,FALSE
37.3025153,-121.9165101,TRUE
37.30253,-121.9157099,FALSE
37.3025325,-121.9148875,TRUE
37.3025349,-121.9154432,FALSE
37.3025349,-121.9153371,FALSE
37.30264,-121.91617,FALSE
37.3028747,-121.9133095,FALSE
37.30298,-121.9151578,TRUE
37.3030548,-121.9160803,FALSE
37.303125,-121.8988834,FALSE
37.3032901,-121.8591141,FALSE
37.3033352,-121.8594095,FALSE
37.3033903,-121.8592455,TRUE
37.3034576,-121.9542212,FALSE
37.303471,-122.0329739,FALSE
37.3034956,-121.8588939,FALSE
37.3035006,-121.8595491,FALSE
37.3035391,-121.9153543,TRUE
37.3035433,-122.019213,FALSE
37.3035531,-121.8588488,FALSE
37.3036458,-121.9149987,TRUE
37.3036578,-121.9163989,TRUE
37.3037267,-121.8260798,FALSE
37.3038342,-122.0061556,FALSE
37.303868,-122.0153936,FALSE
37.3039978,-122.04075,FALSE
37.3040665,-121.9796805,FALSE
37.3040703,-121.9150876,FALSE
37.3042938,-121.8623764,TRUE
37.3042938,-121.8623541,FALSE
37.3043239,-122.0209228,FALSE
37.3043914,-121.7768424,TRUE
37.3044124,-121.9141985,FALSE
37.3052849,-121.7841193,FALSE
37.3053957,-121.8110063,FALSE
37.3054764,-122.01576,FALSE
37.3055293,-121.8502959,FALSE
37.3056356,-121.8503011,FALSE
37.3056356,-121.8502959,FALSE
37.305706,-121.899617,FALSE
37.3057681,-121.9505995,FALSE
37.3058313,-121.8892353,FALSE
37.3058445,-121.9999816,FALSE
37.3061894,-121.7676066,FALSE
37.3062908,-121.983901,FALSE
37.3067028,-121.931356,FALSE
37.306829,-121.9995818,FALSE
37.3068816,-121.9540212,FALSE
37.3068836,-121.9502592,FALSE
37.3069349,-121.8910984,FALSE
37.3073647,-121.9775508,FALSE
37.30742,-121.81038,TRUE
37.3076088,-121.7809371,FALSE
37.3076968,-121.8096623,FALSE
37.3077356,-121.7674063,FALSE
37.307836,-121.9698398,FALSE
37.3080111,-122.0283168,FALSE
37.308017,-122.0318471,FALSE
37.3081815,-121.8150179,TRUE
37.3083923,-121.8141333,TRUE
37.3084572,-121.9780145,FALSE
37.3085124,-121.847549,TRUE
37.3085756,-121.8142916,FALSE
37.3087478,-121.8133264,FALSE
37.308853,-122.0124563,FALSE
37.3089485,-122.0328684,TRUE
37.3089491,-122.0287033,FALSE
37.3089706,-121.8476446,TRUE
37.3089833,-121.9780145,FALSE
37.3090161,-122.0172589,FALSE
37.3091154,-121.8480648,FALSE
37.3092717,-121.8985722,FALSE
37.3092991,-121.8112864,FALSE
37.3094164,-121.8140722,FALSE
37.3096806,-121.8136513,TRUE
37.3096822,-122.0068218,FALSE
37.309713,-121.7922189,FALSE
37.3097714,-121.9931187,FALSE
37.3101071,-121.9530436,FALSE
37.3103472,-121.7702551,FALSE
37.3104365,-121.8106863,TRUE
37.3105468,-121.8957938,TRUE
37.3105985,-121.9320894,FALSE
37.3108073,-121.9769483,FALSE
37.310903,-121.7745057,FALSE
37.3111563,-121.9770371,TRUE
37.3112003,-121.8071928,TRUE
37.311288,-122.0236239,FALSE
37.3114022,-122.0303373,FALSE
37.3116374,-121.9771249,FALSE
37.3116677,-122.0391071,FALSE
37.3117067,-121.8509959,TRUE
37.3117483,-121.8509345,FALSE
37.3118729,-121.8507503,FALSE
37.3118907,-122.0033573,FALSE
37.3119384,-121.8511377,TRUE
37.3119638,-121.850616,TRUE
37.3120465,-121.8507458,TRUE
37.3120864,-121.9770775,FALSE
37.3122131,-121.8502477,TRUE
37.3126276,-121.9509114,FALSE
37.3128569,-121.9332672,FALSE
37.3131568,-121.7938373,TRUE
37.3131593,-121.7938432,TRUE
37.3132299,-121.9332672,FALSE
37.3132427,-121.7936333,FALSE
37.3134019,-121.9775036,FALSE
37.3134781,-121.7914278,FALSE
37.3135841,-121.9823905,FALSE
37.3135931,-121.7731844,FALSE
37.3139109,-121.934036,FALSE
37.3139109,-121.9332672,FALSE
37.3139558,-121.7941992,FALSE
37.314211,-121.950644,TRUE
37.3146249,-121.7739494,FALSE
37.3146571,-121.972838,FALSE
37.3146679,-121.9754822,FALSE
37.314983,-121.9548877,FALSE
37.3150163,-121.9181325,FALSE
37.315054,-122.0683199,FALSE
37.3154805,-121.9749046,FALSE
37.3156385,-121.977126,FALSE
37.3156923,-121.9370894,FALSE
37.3158911,-122.0312698,FALSE
37.3160756,-122.0337319,FALSE
37.3162881,-121.9434225,FALSE
37.3162956,-121.9741937,TRUE
37.3164265,-121.932645,FALSE
37.3164313,-121.8852336,FALSE
